"feature","value","err"
"1",-0.00628226018138692,0.014547722308144
"2",0.0226606848346334,0.0130018502671504
"3",-0.0195772031541633,0.0151162476206946
"4",-0.0494150285585261,0.0130307080259213
"5",0.0191674287426415,0.0251574463408372
"6",0.0112818766845804,0.0145833488046119
"7",-0.0254995232367611,0.018016449933588
"8",-0.0286417389213053,0.015136095806365
"9",-0.0463374057128952,0.012907669991917
"10",0.00106506795128447,0.0149857497053641
"11",0.00961980103719422,0.013123625511583
"12",-0.0719743434384057,0.00916419196538517
"13",-0.0192638926224222,0.0170311076468553
"14",-0.000328995966045321,0.013618517354774
"15",-0.0222385259556196,0.0120123160643468
"16",-0.0191543733435634,0.0115234868810587
"17",0.0104075875288053,0.0103780452830137
"18",-0.00165415090304022,0.0104097197445597
"19",-0.0019360869031861,0.0119832643494874
"20",-0.448031419347467,0.0154909334736875
"21",-0.00170055851439347,0.014478912284609
"22",0.0510783552781469,0.0177778521109451
"23",0.0233059845069686,0.015020881244746
"24",0.0122970953970417,0.0125383857400797
"25",0.010234943695964,0.0131080523288376
"26",-0.00930580547548961,0.0113526134164766
"27",-0.0416343918713209,0.0125427321187393
"28",0.00857941790425064,0.0125406490600085
"29",-0.0208310412187153,0.0123536238259577
"30",-0.0191077888999871,0.0133046267079187
"31",0.0237554238911356,0.0140480921048138
"32",0.0204872072460179,0.0169310334677938
"33",-0.0227869083194094,0.015545887111073
"34",-0.00437138075039769,0.0116818502479247
"35",0.0212725116884596,0.0123465883118323
"36",-0.012379175429496,0.0123580802049719
"37",-0.0158158870145934,0.0147974382931349
"38",0.00310022875286216,0.0144811791867713
"39",0.0210476672249943,0.0141684847879102
"40",-0.0118493754864667,0.013674653527158
"41",-0.0548747653933362,0.0130143749241451
"42",0.00249489712290508,0.0124766794857307
"43",-0.00688052293683505,0.0156367819080117
"44",-0.00677474749857002,0.0110853631544743
"45",0.0245633581141327,0.0153633923040585
"46",-0.0140258317413312,0.0112133500043885
"47",0.666218736973813,0.014071223545018
"48",-0.018626653213641,0.0124319164699385
"49",0.0214789192492695,0.0131823860138961
"50",-0.000930443072131763,0.0166146131473562
"51",-0.0399869278379858,0.0139058769592037
"52",-0.00385051005693538,0.0124702491103039
"53",0.0274644008976457,0.0172329069767093
"54",0.021527530422813,0.0127423496584319
"55",0.0125056561749328,0.0169447662951697
"56",-0.0645512090372032,0.0149340264193699
"57",-0.0729968040599108,0.0139499733798787
"58",-0.0525331919338239,0.0148226853756836
"59",0.0152726269182766,0.00770019759496316
"60",0.0223224043570936,0.0134863671155658
"61",0.0177538622578458,0.0104563015964746
"62",-0.0575716405599927,0.0164860922047525
"63",0.0166183688335679,0.0165494009587842
"64",-0.0438761342832729,0.011107044920676
"65",0.0112293645772431,0.0134825149663262
"66",-0.0111460051234834,0.0123846882051391
"67",-0.0430683212215792,0.0144964355344978
"68",0.0279870131095396,0.0114079085414171
"69",0.0734870560841546,0.0126784247036386
"70",0.0204075987817035,0.0146076739123024
"71",0.000598264376140766,0.0116985749730109
"72",-0.0420897363327296,0.016779738434441
"73",0.0199437499860217,0.0132396135222521
"74",0.0185169970096093,0.0127079364295575
"75",-0.00482239423016389,0.0156821641627309
"76",-0.0181423082067889,0.0138679247548664
"77",-0.0673224043263545,0.0176099391881555
"78",-0.00828649113348966,0.0172479234587953
"79",-0.0560827018515312,0.0135408644245386
"80",0.0104617241103958,0.0132567420616261
"81",-0.0784746452458729,0.0149345623710521
"82",-0.0267960761770539,0.0166378461154999
"83",0.0678862170402305,0.0116446783773362
"84",0.0353829208270224,0.00838846170837225
"85",0.0132135185364372,0.0124843697508535
"86",0.00351525669440472,0.0141703938777308
"87",0.418113122000092,0.0158266274940398
"88",-0.00227035567514103,0.0108182044254535
