"feature","value","err"
"1",0.0285061213846773,0.00576302855088542
"2",0.0350489685565389,0.00686103526251278
"3",0.0246800603904594,0.00362203549710169
"4",0.00172154855913562,0.00129554504305427
"5",0.000247418104725561,0.000290404326822713
"6",0.00265103617550764,0.00191157504725835
"7",4.84483988456498e-05,0.000188600255080899
"8",0.0335349141160426,0.00813625697843509
"9",0.00506879601591186,0.00223564434967165
"10",0.0713054452551064,0.00904977339258997
"11",0.0779620920998997,0.0202624390062244
"12",0.00752552193236079,0.00341449025133946
"13",0.0539868755948287,0.0185244402143428
"14",0.0358545646794387,0.00562613762171921
"15",0.0287098168313967,0.00802512718458751
"16",0.00700378728543608,0.00245168182684756
"17",0.000273026903816568,0.000237574840546024
"18",0.00541916922906987,0.00370727123648515
"19",0.0241191175572022,0.00390470857758057
"20",0.244453262407018,0.0267003073728772
"21",0.0342321150652607,0.0155339785487114
"22",0.000205000940098644,0.000173797789475984
"23",0.0411079142163951,0.0143759624669785
"24",0.0209279242213869,0.00378067993744935
"25",0.0269546497848411,0.00740237706956139
"26",0.0255758510417994,0.00389189025146258
"27",0.000409802704749947,0.000600795024619753
"28",0.0287283656738073,0.00632482165727393
"29",0.0252223255655579,0.00495531583479583
"30",0.0250897313790005,0.00558443070536666
"31",0.00240513347054234,0.00179844647920736
"32",0.0333786453411843,0.00678615729676512
"33",3.40719649807589e-05,4.31960494029025e-05
"34",0.0294269010830364,0.00527324283878878
"35",0.0359289199200201,0.0158176935815511
"36",2.04442028150557e-05,2.87993240494817e-05
"37",0.0342504062254429,0.00772047075886909
"38",0.0277185770911852,0.00608202013692454
"39",0.0324313125373211,0.00671501395548931
"40",0.00407866010669291,0.00224954790456036
"41",0.0161475149731853,0.00878181171076128
"42",0.0249639639927109,0.00379079884513003
"43",0.0269165363692944,0.00506677293831552
"44",1.53723825124058e-05,2.42829561740774e-05
"45",0.00453249708528737,0.00197618855093455
"46",0.0281476379911279,0.0141606767716032
"47",0.632190708182366,0.0296624140685027
"48",0.0241367738589178,0.00557389417874271
"49",0.0290114782400313,0.00724784288520397
"50",0.0620510563982861,0.0190309488638544
"51",0.0063456739065992,0.00191927646893974
"52",0.0294855171563334,0.00486976359727721
"53",0.00248591385549077,0.00183486494551816
"54",0.00181920726344902,0.000976552196828453
"55",0.0297769019764418,0.0120634559375415
"56",0.0640683553118129,0.0167604254757419
"57",0.0186813846132503,0.00666347339408607
"58",0.0821633833039094,0.031429689343805
"59",0.000310872446650592,0.000210215955159037
"60",0.0325864943483502,0.00473454432947173
"61",0.000150874551617804,0.00012981743829746
"62",0.010177362409604,0.0042976844130516
"63",0.0329206254889221,0.00545296523898514
"64",0.0015178828161581,0.00140190789637918
"65",0.026242074253476,0.00374184501851786
"66",0.0210460038812933,0.00459466952802052
"67",0.0872227745719605,0.0234675978545944
"68",0.0235674304886782,0.00534615015996971
"69",0.00460949239822491,0.00192284206103194
"70",0.0277413278243683,0.00462944505146733
"71",0.0241539908981134,0.00427981413474749
"72",0.0350540473121855,0.012023606541034
"73",0.0467773779957547,0.0152761263314707
"74",0.00790051737451513,0.00230111800765733
"75",0.18748376499504,0.0249560846368164
"76",0.0284317202258144,0.0052143775934844
"77",0.0925608923864108,0.0237908475819325
"78",0.0527497377349449,0.0174203105417266
"79",0.169528990957518,0.0248719876136404
"80",0.0687096594920754,0.0193776804985849
"81",0.00331353324997373,0.0015253892437606
"82",0.0301828488448072,0.00619118086067316
"83",0.00668103487026099,0.00296975745986357
"84",0.000396522704640839,0.000209530489238545
"85",0.000669672778659807,0.000462271607443422
"86",0.0284454639319948,0.00451638960421424
"87",0.0827423860377532,0.010707492501011
"88",0.0019769600526622,0.000682781976539711
