"feature","value","err"
"1",-0.0131593784323832,0.0158342467501439
"2",0.0242197991256813,0.0147730465306179
"3",-0.016115349471245,0.0176181934024357
"4",-0.0563492881801512,0.0149209869621438
"5",0.0270062111488178,0.0302829648994966
"6",0.0207341166895594,0.0162397652483711
"7",-0.0410660031717017,0.0245153188199073
"8",-0.030336090653936,0.0169885482030915
"9",-0.0544633849896537,0.0146798079210416
"10",-0.0163104727126435,0.018094419259261
"11",0.00774628054737469,0.0145892161328596
"12",-0.0914032304989014,0.0113059935620982
"13",-0.0327831845967279,0.02244929225622
"14",0,0.0136168053370747
"15",-0.0197358813920247,0.0133718739638025
"16",-0.0173984028205474,0.0142666648357643
"17",0.0014103547385672,0.011646913280828
"18",-0.00933236800240596,0.0116950149951567
"19",-0.00224073461694713,0.0122599899852492
"20",-0.582360805593848,0.0193473828317439
"21",-0.00995023213895325,0.0151952586011996
"22",0.058184398795336,0.0195903519945138
"23",0.0279056395749386,0.0176752282445952
"24",0.0118999437293502,0.0130253719741882
"25",0.00178364302904344,0.0134620045000195
"26",-0.0116315563203764,0.0122065874932293
"27",-0.0563017781253172,0.0153582601627434
"28",0.0154097705148166,0.0135665796148942
"29",-0.0188184651247155,0.0136414751920676
"30",-0.0131437150692003,0.0144221119365289
"31",0.0236867523627952,0.0143208900596985
"32",0.006382094252981,0.0196867941600663
"33",-0.0312291644778612,0.0192050183552459
"34",-0.00708650172524261,0.0122066840761739
"35",0.0153400063343049,0.0147499218172072
"36",-0.0103993862639126,0.0123252634715077
"37",-0.0328533520363393,0.0186579762635714
"38",0,0.0158923342738856
"39",0.0160777571131159,0.0158467319237378
"40",-0.00501417983340001,0.0131251676870563
"41",-0.0535823310577406,0.015237447287565
"42",0.00193201203051474,0.0124978128502028
"43",-0.00230203443137149,0.0189247944444946
"44",-0.0101923591161648,0.012934561271273
"45",0.0280029466792845,0.0156866622318044
"46",-0.0180781288648169,0.0122641081826345
"47",0.741518010343859,0.0167678958222915
"48",-0.0183543087927161,0.0134182372666081
"49",0.0220899057640603,0.0139782760959049
"50",0,0.0220464273325146
"51",-0.0636914371419835,0.0163057863792051
"52",0.000569866696481241,0.0123007873171565
"53",0.0220536471984302,0.0196582007164427
"54",0.0284257019451,0.0139865912275578
"55",0.00940666188364352,0.0222664446350972
"56",-0.0601172576721759,0.0174145209190889
"57",-0.073253129837156,0.0177708842534226
"58",-0.0577930777807947,0.0191460733504973
"59",0.0168021383930861,0.00914931325573716
"60",0.0165694007133315,0.0150237025349111
"61",0.0188819681643448,0.0121088451845948
"62",-0.0564201624422919,0.0179181778824691
"63",0.0286780953215487,0.0229880722089786
"64",-0.0525611730194115,0.0140627417927497
"65",0.0133427562721208,0.0145736435781157
"66",-0.00812141315017267,0.0130584554262252
"67",-0.0333809186980136,0.0160790806704048
"68",0.0253953240381491,0.0122640425688724
"69",0.0942750826761288,0.0134112151372764
"70",0.0226765215841543,0.0171237554886226
"71",-0.000523680113729832,0.0116975611695666
"72",-0.0473138513647793,0.0318575420513264
"73",0.0147492554346007,0.014282535370257
"74",0.012637843273728,0.015592711393543
"75",-0.0198804197978212,0.0193817720980367
"76",-0.0125870842307668,0.0152854471759811
"77",-0.0892360559645425,0.0352820831063636
"78",-0.0286862136472753,0.0337778569564401
"79",-0.0441155506924917,0.0167318392339623
"80",0.0194478195662493,0.0160993745638691
"81",-0.0946820632620727,0.0183185344770917
"82",-0.0449238124557496,0.0324947184965729
"83",0.0783213114007972,0.0138389847786432
"84",0.0401576773657009,0.0104475672232462
"85",0.00959773734202118,0.0137645808276891
"86",-0.00197618261217935,0.0174279752205461
"87",0.576101527444805,0.019979974484308
"88",0,0.0105686646960532
