"feature","value","err"
"1",-0.0132414960495163,0.0158363978683268
"2",0.0244173899044813,0.0148647287478257
"3",-0.016504502427836,0.01786188627343
"4",-0.0565185349543376,0.0147936109342328
"5",0.0270424758825814,0.0302578475330861
"6",0.0207850946108873,0.016216833430697
"7",-0.0414848698264914,0.0247416679044638
"8",-0.0306996173184104,0.0169715777985508
"9",-0.0546812236836628,0.0146450433086365
"10",-0.0164417711545791,0.0180977016338203
"11",0.00792732111302576,0.0146278312654565
"12",-0.0914010957516423,0.0111621927510825
"13",-0.0334934611210246,0.0219295212176759
"14",0,0.0136890434341578
"15",-0.0199105254782964,0.0133656352485206
"16",-0.0176354473480373,0.0142650352577514
"17",0.00162171019434497,0.0116722255882026
"18",-0.00941922802714215,0.0117626046315005
"19",-0.00228450619115553,0.0122035926000509
"20",-0.581390551175698,0.0194618855655956
"21",-0.0101346741165581,0.0152558470703095
"22",0.0583527266640884,0.0195301893190065
"23",0.0279041299899316,0.0177149487826822
"24",0.0120230391871276,0.0130416597145536
"25",0.00189764394958821,0.013529392558697
"26",-0.0118169138836038,0.0120831624684703
"27",-0.0564078189454139,0.0155135127269073
"28",0.0154641151429068,0.0135673320637863
"29",-0.018737533520863,0.0136286118213932
"30",-0.0132891885661777,0.0144953151851901
"31",0.0238036670295612,0.0143395835957926
"32",0.00644136235426861,0.0198155532149073
"33",-0.0314863880996366,0.0191980676931164
"34",-0.00717820417088656,0.0121915384286858
"35",0.0156836097495933,0.0146736984766952
"36",-0.0106681280181001,0.0123286384281622
"37",-0.0333776529178205,0.0185831869109642
"38",0,0.0158792226547803
"39",0.0163596155182987,0.0158577455133225
"40",-0.0051298542280038,0.0130714155553152
"41",-0.0536514621215559,0.0152416844490001
"42",0.00219002102196292,0.0125871336919758
"43",-0.00245814223398903,0.0192524448828823
"44",-0.0102245747108845,0.01299729611882
"45",0.028032455239209,0.015670895907183
"46",-0.018142747684433,0.0123164802280618
"47",0.741013658003939,0.0167356453703739
"48",-0.0185362792168726,0.0134669393729933
"49",0.0222756613275572,0.0139423352664964
"50",0,0.0219874930886429
"51",-0.0637243695106437,0.0163023419208644
"52",0.000635710183239756,0.0124442168695069
"53",0.0222085883603517,0.0196790085865159
"54",0.0285266446847393,0.0138764822999483
"55",0.00969043763650848,0.0221789116905371
"56",-0.0604888706709992,0.0175155032639599
"57",-0.0734471607813416,0.0177988605002395
"58",-0.0581710329801567,0.0189021588060979
"59",0.0169067169346136,0.00910977342069729
"60",0.0167476004066299,0.0149549245659533
"61",0.019047956366855,0.0121305300314796
"62",-0.0565302584168662,0.0178677850701049
"63",0.0291272470240543,0.0235696038694928
"64",-0.0525808513513108,0.0140355355996387
"65",0.013635922289626,0.0146029534206492
"66",-0.00818619518343468,0.0130115316855062
"67",-0.0335175444514743,0.0160485503420825
"68",0.0254246848784346,0.0122458044564887
"69",0.0942529989859285,0.0134033778374181
"70",0.0228368956694089,0.017099060925794
"71",-0.000644979917083534,0.0117564577198449
"72",-0.0492022441697177,0.0318388998188998
"73",0.0147900710330183,0.0142808328928808
"74",0.0127538191326177,0.0155474031572867
"75",-0.0200688875736628,0.0194159517325355
"76",-0.0126929175844982,0.0152502708902873
"77",-0.0907115198138916,0.0350171446969154
"78",-0.0298531401728338,0.0333777499611285
"79",-0.0446118685014719,0.0166523822182798
"80",0.019829993668684,0.0163083474385948
"81",-0.0946976749908617,0.0182275319826063
"82",-0.0464690898371303,0.0326236482833075
"83",0.0784669755106001,0.0137829989975817
"84",0.0403269747059153,0.0103582290991544
"85",0.00965928599797466,0.0138159913217512
"86",-0.00281421976378253,0.0173981501717127
"87",0.574939412957403,0.0200783805239886
"88",0,0.0105841170308648
